classification,year,period,period_desc,aggregate_level,is_leaf_code,trade_flow_code,trade_flow,reporter_code,reporter,reporter_iso,partner_code,partner,partner_iso,second_partner_code,second_partner,second_partner_iso,customs_proc_code,customs,mode_of_transport_code,mode_of_transport,commodity_code,commodity,qty_unit_code,qty_unit,alt_qty_unit_code,alt_qty_unit,qty,alt_qty,netweight_kg,gross_weight_kg,trade_value_usd,cif_trade_value_usd,fob_trade_value_usd,flag
H0,1995,1995,1995,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,3585116,NA,NA,0
H0,1995,1995,1995,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,34048436,NA,NA,0
H0,1995,1995,1995,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,161167696,NA,NA,0
H0,1995,1995,1995,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,268853408,NA,NA,0
H0,1995,1995,1995,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,308167616,NA,NA,0
H0,1995,1995,1995,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,44995304,NA,NA,0
H0,1995,1995,1995,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,1478397696,NA,NA,0
H0,1995,1995,1995,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,605813056,NA,NA,0
H0,1996,1996,1996,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,4891269,NA,NA,0
H0,1996,1996,1996,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,81889,NA,NA,0
H0,1996,1996,1996,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,128678992,NA,NA,0
H0,1996,1996,1996,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,257996080,NA,NA,0
H0,1996,1996,1996,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,322441952,NA,NA,0
H0,1996,1996,1996,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,79970720,NA,NA,0
H0,1996,1996,1996,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,1409370240,NA,NA,0
H0,1996,1996,1996,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,746701696,NA,NA,0
H1,1997,1997,1997,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,5908905,NA,NA,0
H1,1997,1997,1997,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,281641,NA,NA,0
H1,1997,1997,1997,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,228453744,NA,NA,0
H1,1997,1997,1997,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,310887712,NA,NA,0
H1,1997,1997,1997,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,438309696,NA,NA,0
H1,1997,1997,1997,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,77012608,NA,NA,0
H1,1997,1997,1997,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,1613563264,NA,NA,0
H1,1997,1997,1997,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,841222784,NA,NA,0
H1,1998,1998,1998,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,7679062,NA,NA,0
H1,1998,1998,1998,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,65617,NA,NA,0
H1,1998,1998,1998,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,334751520,NA,NA,0
H1,1998,1998,1998,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,320008928,NA,NA,0
H1,1998,1998,1998,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,485078112,NA,NA,0
H1,1998,1998,1998,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,105316192,NA,NA,0
H1,1998,1998,1998,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,1962756224,NA,NA,0
H1,1998,1998,1998,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,841759744,NA,NA,0
H1,1999,1999,1999,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,9681597,NA,NA,0
